Customer ID,Recency,Frequency,Monetary,Recency_score,Frequency_score,Monetary_score,RFM_SCORE,Segment
12346,324,1,77183,1,1,5,115,Hibernating
12347,1,182,4251,5,5,5,555,Champions
12348,74,31,1786,2,3,4,234,At Risk
12349,17,73,1718,4,4,4,444,Loyal Customers
12350,309,17,329,1,2,2,122,Hibernating
12352,35,85,2465,3,4,5,345,Loyal Customers
12353,203,4,86,1,1,1,111,Hibernating
12354,231,58,1047,1,4,4,144,At Risk
12355,213,13,453,1,1,2,112,Hibernating
12356,21,59,2789,4,4,5,445,Loyal Customers
12357,32,131,6169,3,5,5,355,Loyal Customers
12358,0,19,1159,5,2,4,524,Potential Loyalists
12359,56,245,6176,3,5,5,355,Loyal Customers
12360,51,129,2601,3,5,5,355,Loyal Customers
12361,286,10,185,1,1,1,111,Hibernating
12362,2,266,5110,5,5,5,555,Champions
12363,108,23,543,2,2,3,223,Hibernating
12364,6,85,1284,5,4,4,544,Champions
12365,290,22,632,1,2,3,123,Hibernating
12367,3,11,164,5,1,1,511,New Customers
12370,50,166,3475,3,5,5,355,Loyal Customers
12371,43,63,1863,3,4,4,344,Loyal Customers
12372,70,52,1275,3,3,4,334,Need Attention
12373,310,14,360,1,1,2,112,Hibernating
12374,24,33,727,4,3,3,433,Potential Loyalists
12375,9,17,448,5,2,2,522,Potential Loyalists
12377,314,77,1604,1,4,4,144,At Risk
12378,128,219,3906,2,5,5,255,Can't Loose
12379,80,40,834,2,3,3,233,At Risk
12380,20,104,2669,4,4,5,445,Loyal Customers
12381,3,87,1805,5,4,4,544,Champions
12383,183,99,1817,1,4,4,144,At Risk
12384,27,27,573,4,2,3,423,Potential Loyalists
12386,336,10,399,1,1,2,112,Hibernating
12388,14,100,2733,4,4,5,445,Loyal Customers
12390,78,32,533,2,3,3,233,At Risk
12391,20,93,390,4,4,2,442,Loyal Customers
12393,71,64,1560,2,4,4,244,At Risk
12394,62,27,1260,3,2,4,324,About to Sleep
12395,18,156,2961,4,5,5,455,Loyal Customers
12397,34,126,2357,3,5,5,355,Loyal Customers
12398,44,85,1600,3,4,4,344,Loyal Customers
12399,118,59,1086,2,4,4,244,At Risk
12401,302,5,82,1,1,1,111,Hibernating
12402,322,11,220,1,1,1,111,Hibernating
12403,48,5,426,3,1,2,312,About to Sleep
12405,147,54,1684,2,3,4,234,At Risk
12406,21,105,3370,4,4,5,445,Loyal Customers
12407,48,77,1668,3,4,4,344,Loyal Customers
12408,31,105,2842,4,4,5,445,Loyal Customers
12409,77,109,11038,2,4,5,245,At Risk
12410,307,26,685,1,2,3,123,Hibernating
12412,73,61,1199,2,4,4,244,At Risk
12413,65,38,736,3,3,3,333,Need Attention
12414,216,18,555,1,2,3,123,Hibernating
12415,23,714,124666,4,5,5,455,Loyal Customers
12417,2,192,3563,5,5,5,555,Champions
12418,111,34,655,2,3,3,233,At Risk
12420,62,29,584,3,2,3,323,About to Sleep
12421,14,45,792,4,3,3,433,Potential Loyalists
12422,94,39,784,2,3,3,233,At Risk
12423,-1,125,1803,5,5,4,554,Champions
12424,161,30,1745,2,3,4,234,At Risk
12425,77,36,759,2,3,3,233,At Risk
12426,193,30,567,1,3,3,133,At Risk
12427,20,31,811,4,3,3,433,Potential Loyalists
12428,24,294,7826,4,5,5,455,Loyal Customers
12429,8,97,3719,5,4,5,545,Champions
12430,42,11,252,3,1,2,312,About to Sleep
12431,34,234,6306,3,5,5,355,Loyal Customers
12432,41,108,5018,3,4,5,345,Loyal Customers
12433,-1,420,13226,5,5,5,555,Champions
12434,83,50,781,2,3,3,233,At Risk
12435,78,36,7817,2,3,5,235,At Risk
12436,98,16,503,2,2,3,223,Hibernating
12437,0,199,4885,5,5,5,555,Champions
12438,13,98,2867,4,4,5,445,Loyal Customers
12441,365,11,169,1,1,1,111,Hibernating
12442,2,12,167,5,1,1,511,New Customers
12444,20,176,4926,4,5,5,455,Loyal Customers
12445,21,4,133,4,1,1,411,Promising
12446,56,57,974,3,3,4,334,Need Attention
12447,242,26,462,1,2,2,122,Hibernating
12448,43,22,440,3,2,2,322,About to Sleep
12449,21,191,4005,4,5,5,455,Loyal Customers
12450,155,8,194,2,1,1,211,Hibernating
12451,9,354,8894,5,5,5,555,Champions
12452,15,22,421,4,2,2,422,Potential Loyalists
12453,133,43,686,2,3,3,233,At Risk
12454,55,15,3523,3,2,5,325,About to Sleep
12455,72,90,2429,2,4,5,245,At Risk
12456,43,125,3128,3,5,5,355,Loyal Customers
12457,65,62,2336,3,4,5,345,Loyal Customers
12458,70,38,932,3,3,4,334,Need Attention
12461,93,35,814,2,3,3,233,At Risk
12462,17,62,1153,4,4,4,444,Loyal Customers
12463,52,83,1307,3,4,4,344,Loyal Customers
12464,9,29,1201,5,2,4,524,Potential Loyalists
12465,16,47,725,4,3,3,433,Potential Loyalists
12468,186,38,711,1,3,3,133,At Risk
12471,1,459,19581,5,5,5,555,Champions
12472,31,339,6444,4,5,5,455,Loyal Customers
12473,28,167,3851,4,5,5,455,Loyal Customers
12474,16,422,7149,4,5,5,455,Loyal Customers
12475,52,36,709,3,3,3,333,Need Attention
12476,14,233,6718,4,5,5,455,Loyal Customers
12477,21,300,13076,4,5,5,455,Loyal Customers
12478,2,36,667,5,3,3,533,Potential Loyalists
12479,10,31,516,5,3,3,533,Potential Loyalists
12480,27,154,3214,4,5,5,455,Loyal Customers
12481,21,216,5500,4,5,5,455,Loyal Customers
12483,16,75,2458,4,4,5,445,Loyal Customers
12484,31,343,4344,4,5,5,455,Loyal Customers
12488,8,55,1272,5,3,4,534,Potential Loyalists
12489,335,15,326,1,2,2,122,Hibernating
12490,4,245,5309,5,5,5,555,Champions
12491,37,26,448,3,2,2,322,About to Sleep
12492,62,20,256,3,2,2,322,About to Sleep
12493,164,22,421,2,2,2,222,Hibernating
12494,14,77,1211,4,4,4,444,Loyal Customers
12497,80,14,1038,2,1,4,214,Hibernating
12498,20,23,392,4,2,2,422,Potential Loyalists
12500,22,61,4233,4,4,5,445,Loyal Customers
12501,335,149,2097,1,5,5,155,Can't Loose
12502,94,147,3649,2,5,5,255,Can't Loose
12504,17,9,479,4,1,3,413,Promising
12506,231,23,57,1,2,1,121,Hibernating
12507,133,21,1299,2,2,4,224,Hibernating
12508,25,68,365,4,4,2,442,Loyal Customers
12509,283,7,174,1,1,1,111,Hibernating
12510,141,33,971,2,3,4,234,At Risk
12512,65,31,111,3,3,1,331,Need Attention
12513,111,35,598,2,3,3,233,At Risk
12514,266,51,994,1,3,4,134,At Risk
12515,352,16,376,1,2,2,122,Hibernating
12516,76,26,1304,2,2,4,224,Hibernating
12517,27,279,2336,4,5,5,455,Loyal Customers
12518,-1,124,2009,5,5,5,555,Champions
12519,62,17,325,3,2,2,322,About to Sleep
12520,78,152,2567,2,5,5,255,Can't Loose
12521,141,38,579,2,3,3,233,At Risk
12522,38,12,188,3,1,1,311,About to Sleep
12523,18,106,1740,4,4,4,444,Loyal Customers
12524,8,144,4417,5,5,5,555,Champions
12526,-1,71,1278,5,4,4,544,Champions
12527,80,18,342,2,2,2,222,Hibernating
12528,8,92,1892,5,4,4,544,Champions
12530,58,66,1629,3,4,4,344,Loyal Customers
12531,13,17,115,4,2,1,421,Potential Loyalists
12532,29,16,343,4,2,2,422,Potential Loyalists
12534,129,63,1059,2,4,4,244,At Risk
12535,90,34,699,2,3,3,233,At Risk
12536,42,261,12490,3,5,5,355,Loyal Customers
12538,28,21,354,4,2,2,422,Potential Loyalists
12539,21,273,5421,4,5,5,455,Loyal Customers
12540,18,478,13205,4,5,5,455,Loyal Customers
12541,28,52,962,4,3,4,434,Potential Loyalists
12544,35,19,365,3,2,2,322,About to Sleep
12545,74,50,982,2,3,4,234,At Risk
12546,45,69,1132,3,4,4,344,Loyal Customers
12547,196,8,206,1,1,1,111,Hibernating
12548,165,5,94,2,1,1,211,Hibernating
12550,78,57,939,2,3,4,234,At Risk
12551,356,10,163,1,1,1,111,Hibernating
12552,37,20,426,3,2,2,322,About to Sleep
12553,7,191,3602,5,5,5,555,Champions
12556,49,119,527,3,4,3,343,Loyal Customers
